disease,food
0,酒
1,高纖
1,燕麥
1,果膠
2,煙燻
2,燻
2,罐頭
2,泡菜
2,火鍋
2,薄鹽醬油
2,葡萄柚
2,香蕉
2,紫菜
2,葡萄乾
2,空心菜
2,金針菇
2,菠菜
2,榴槤
2,釋迦
2,莧菜
2,龍眼乾
2,韭菜
2,花椰菜
2,芹菜
2,香菇
2,桃子
2,香瓜
2,哈密瓜
2,奇異果
2,木瓜
2,芭樂
